pid_l,pid_r
711030120151067,813171020150098
711070920161026,803112120160068
711034920160650,813130720160167
821051720190004,821051720190125
711035120190114,805071120190261
813112720180050,813150920180248
711081120190887,713030720190131
711071120183608,405120320180102
711071120193006,407010120190073
711071120184532,713032120180227
813111220180003,813111220180135
711030120162204,803111120160038
117133320210002,801153320210004
403336520190183,103051120190283
403192520180111,607191520180042
705070920160158,701401920160828
701393720181028,713014920180766
701393720181028,803090920180246
701393720180902,819091320180691
815092820170249,815092820170163
405114320190057,711070520190911
405194320220016,711041120220042
405192120220054,106054520220083
405154920180054,713170120180261
405154920180054,713012320180938
405012120210163,101250320210501
401233520170115,101130520170560
411031320190206,713152520190478
701392720180411,817071720180242
807130920170175,815011520170277
807130920160108,801030920160067
103052120220031,411091920220036
103130120220078,113192720220109
103052720220096,715020520220023
103032120210264,805071020210109
103071820220090,115077720220019
103031320220055,221050920220045
103171520220082,701352320220106
103115720220092,605110320220043
103090520220023,401011820220112
103090520220023,225061120220037
103050320220071,115050120220082
103030520220117,709030720220106
103052720220229,107111920220082
103143720220220,101140720220165
103191520220038,101530320220072
103052120220107,106011520220128
103150720220072,823070120220074
103070720210112,215031120210067
103212520220058,115073720220040
103050720220104,813112720220052
103211920180081,701370920180159
107114120190044,103116720190062
401194120180193,401194120180097
817032120220089,705040320220098
817030920180435,817030920180037
817071920180078,803191120180194
817071720190156,711034520190916
817050520180087,605130320180360
817110320170143,707071720170460
817051920180049,701401820180371
701230420160182,109093120160030
701291520160067,805170720160149
701290520170058,711071920170192
107170920200028,713014320200481
107032720200158,709051720200140
103211120220060,101532920220099
103172320220059,111113520220045
713104720210796,101140320210190
713033520210127,815014120210567
813040220190139,713052320190172
713171520220024,104070720220014
713012320180569,701031520180192
803150520180208,803150520180085
803030720170045,713101920170020
803130120150007,801092120150105
803170720160198,815092820160443
803111520160015,715051320160034
803150920170143,805150920170240
803050720180139,801032120180107
803150320160009,807010120160273
803011120180083,803011120180013
803030320170097,701392320170390
701153120180633,701153120180309
701153120180633,819131120180397
803210920150118,701290120150108
803010520180133,817030320180186
803011120180203,711070720181240
803050320190134,816090520190052
803010120160202,805010120160246
505090720170467,819031720170185
701170520170800,603030120170339
409130720180121,701272920181039
409050120170455,603072320170270
409050120170455,501050720170532
409113320190002,713014920190202
503092520180027,501130120180048
405052720180042,713152520180611
405191320180127,711071120183562
411091120150021,803050120150011
411091320170193,713015420170623
807091520200151,809131920200151
807113720190191,813090320190181
807151720160182,717090720161009
807074720200123,815133220200163
505232320170277,505230520170259
101080520180310,109062320180126
302172120200097,701230120200609
701192520150179,713032920150145
701010520160281,801252920160174
701252120170493,607091120170211
701272320160040,701252320160031
701272320160040,711034520160600
401030520140060,717091520140162
115111920200143,109130920200107
115075720170105,103132920170826
101072320200128,109110120200052
215031120210067,103070720210112
207121920210029,103143920210199
107013820180185,111074520180171
107054120150004,701310720150119
401354520190116,713011720191269
107010920210170,701331520210946
821011220140264,819150920140094
103131920200173,104032320200099
811113520180103,813211120180474
807130320170159,807130320170208
803172520180303,803172520180254
507051920170328,803110720170436
801271520170193,713170720170335
707090120180245,707110120180189
816021320160155,816021320160114
816070320190007,821091620190016
816120920180023,803170320180001
811051720170148,803111320170322
811160220170180,701170320171335
811150120220045,809091320220033
109012320160088,107012920160050
809032720170153,711054920170873
711070520150186,715150320150244
605031120210042,701250320210134
605013120200086,505093320200091
605240320200126,606111520200140
509122920160070,701282820160598
509050320160030,817111120160165
509012920170071,705011520170179
509010120190045,823131320190178
607131520180088,607131520180138
606340420170118,605190920170005
403350120180220,403350120180122
217182920210143,217182920210076
217073320220026,113174720220015
217030720220057,411131120220042
217050920220030,701231920220197
217052620220018,813010820220082
407095320160048,701402420160929
713030720220006,701171920220016
713104720161489,715150520160082
713153120170511,809010920170299
805071320190027,819082920190247
805111720160337,711054020160163
717051120190076,805111320190204
805110120200046,411070720190133
805011120170279,813300520170117
805070720200107,711071920200322
805011920160316,701171920160259
805111120200484,809112120200161
805010320170194,803030320170038
805171920170266,711071120173130
805172120170152,711070920173640
805111320200144,817160420200079
805170320170233,823010120170254
607071720210247,705070920210256
607112320180023,707080920180304
607191620150028,606210520150122
607191320150023,713051120150052
607191120200057,103211720200092
101252320170869,107012520170337
401410920190094,115093720190057
803051320170287,711054020171194
803110720150124,805170920150193
803171920190006,713170920190177
819061320190071,711034520190691
803091720170095,603191320170109
803111520210031,813051320210032
803051720150244,805211920150171
803051720150244,711071120151778
225061120180078,101130120180008
225032320220054,101331520220043
225010520220053,101234920220274
603110620180045,701330320180301
711035320150483,511013120150117
711054920180373,603031720180016
713013920190973,813230520190121
511021720160015,701350920160364
511020720190216,813051420190282
813210120170571,221112720170011
813091320190442,821031920190405
715112520170171,711054020170679
715052820210031,823111220210018
715030320210168,803131920210074
707031320170030,503091120170126
701371920180976,803172520180320
823111520170036,803070320170347
823070320171001,821011420170239
823101220200221,713013520200803
823091920170356,711071120174037
823131520190044,711100520190062
823111920170008,821010320170028
823111520150109,807092120150054
821090120180144,823010520180032
821031720180312,809133120180092
821030120180001,813031320180032
103050520210016,405201020210016
101140920210476,511014120210283
816091120190012,815030120190279
816072120190318,711090620190073
816091520150110,717090120150225
816050220170175,605321020170302
816091320200113,809132520200193
816070220220005,403172120220014
813091020170227,813091020170304
221114520170300,221114520170208
109011520180229,707010920180032
221090720180191,106113720180260
221134320210006,221134320210005
815074320180141,807051720180120
815650820210103,815650820210022
815050920220046,821072720220050
815012120200033,816091720200213
815092520190256,813010820190269
403030120180077,403233920180060
403233920180060,107012120180116
403233920180060,403030120180077
403175920180223,709112320180372
403335320180220,817050720180154
501051120200154,103113920200046
407132320170222,407132320170226
605012320150387,701010720150189
705071120150108,701330920151368
705011520170179,509012920170071
705040520150093,511052320150021
605090720190347,607090120191240
605190520160225,603110120160136
605251120150186,503251520150180
815650420180026,715131220180015
815012520180007,809031320180032
815111120200195,711052920200261
815110220170040,711070720172932
815110920170380,711034920170324
815011920200032,405191120200102
403354720190025,711071120191175
403380920180162,405174920180015
403013520200098,713015420200273
605013920170474,816112520170297
509090120160099,701171520160181
403311720210061,115150920210036
403336520180030,711071120181249
403336520180030,405132720180022
403171920220119,803051520220050
403174720220131,403312720220066
403174720220131,101431320220063
101415920220073,819031920220121
101141920220124,213070320220057
511052320180155,813010420180448
101141520150390,401290520150077
813211320150142,505030320150152
813051720180299,711070920180726
813170320190326,807172120190196
715020520160045,813211320160020
813051620190042,805112320190066
813131320200264,813131320200054
813131320200264,817150720200048
813070520200162,711034520200574
813111220180135,813111220180003
813051120150092,816120520150135
813230520180055,803030520180022
813110120200321,805111320200198
805170720170213,813300520170117
711071920180610,815133120180251
821050920170053,817112320170091
707050120200056,711010320200046
707031520170265,713031520170208
823110520160178,816031520160281
823070320180732,805111120180531
823110320170305,711030120173097
823111020170009,711054020170637
601111720200149,511014320200319
601010720210072,701230920210170
601130120180136,606330320180143
805110920150093,701371120150271
805132520160013,803111120160214
805192520160004,813111220160173
815091120200340,815111920200119
717011320220130,603072320220056
717050920210074,817051920210060
717122420220175,107072120220044
717050920170153,405154720170138
717012220170048,701131120170096
717071120160058,701331120160353
717090120160072,607152520160041
607090320170245,811073520170132
607211720180031,705080520180057
607111920170120,101330920170286
607132320180206,713050720180087
607011320170041,607012120170052
717050920200072,815153520200089
607131120150053,713032920150024
607090120170976,711030120171902
117011920200172,403254320200091
117133720210013,113074520210047
801153920220146,101141920220161
801153920220146,403252720220091
801153920220146,104062520220120
815130220170032,821091020170212
815050920150159,809032120150168
815050920150159,815050920150158
815012720170573,817160520170140
403192520160149,711081120160969
403010520180194,709091520180219
403190920200005,403191520200042
607070720190105,607070720190272
705070520150044,505050120150064
705040120160210,705040120160115
705011720170345,817050820170019
509091020220052,711040420220023
509111520220063,501011320220094
715010720170292,819010520170114
715092120170382,819150720170188
715111520150001,711054520150006
715151020160226,711010520160296
715150520170195,711034720171205
715132120170262,705040520170149
711054020220346,701253120220149
403311720190034,401452320190084
711071120184170,405120320180164
711034920161162,607152320160138
711034720220353,107093720220049
711100820190125,405173120190134
711070920150863,805132120150106
711080120150705,819053320150041
711034520190122,807130320190197
711080320171492,401510520170113
711041520150077,607210120150114
711100320170424,803070320170347
711010320170649,511080120170299
403274020170136,701331520170915
807030720190101,809092720190092
815090120150077,816010820150087
501010520160239,701011720160247
501070120150411,701010520150083
501031120170217,603010320170232
815010920220111,205010320220077
815010720160073,809092720160132
815092820160442,816031520160086
815153520160227,809080320160167
815010920200389,803030120200208
815012320200132,809090320200007
815130220220082,509050720220095
501131020220150,605071520220136
407134920160088,807010120160277
713013520171536,813250720170173
713013920210431,823091120210124
713121920170039,701192520170071
713121920170039,701392320171666
713101720150323,605070420150243
713014920200579,715072920200301
713013520171092,805050520170009
713031520200200,817070920200177
713013920200467,701172120200068
713102920200164,701251520200168
713012320192897,705070920190389
805192120210045,711070720200693
807111120170259,711081120170546
713013920183186,816071520180116
713052320180307,701251920180864
713152520180611,405052720180042
713151320170616,511051720170006
803050920150170,711071120151264
803220420150135,713153720150542
803112320150028,813090320150098
803220420170017,711012020170524
803110920170221,711071120183052
713011120170348,509071320170041
713070720160066,605090320160149
606340720190214,411010520190552
713122320200067,711034720200106
713013720190869,401291720190154
713013720190869,605152320190173
713013720190869,403316320190109
713102120190944,819061520190096
709090120170220,813041320170228
403256520180189,701230420181047
403380720170181,401475520170103
403354120180107,603091520180170
403354120180107,407095520180164
403256120160162,711030120161656
501090520170665,411070920170253
803091320180038,803091320180131
711010720200088,705072720200090
817031720190053,817031720190222
711054020190439,817050920190273
511031920160114,809092120160173
813151720190088,711090720190135
813031320180032,821030120180001
511030120180036,803191720180028
511013920180203,607031720180285
511010120180692,607031720180285
813030120180098,815130220180250
813010720190545,111070920190138
813211120190374,401515520190115
813112620190181,815092820190592
715030120180388,809082320180079
715112720170172,707120220170160
715110920170126,807134520170114
715051320170158,813210120170358
605250120170053,701251720170312
407032120180300,713013920182415
713030120180098,803131720180075
713122120220053,709091520220040
713110420170109,711050520171243
713110420170109,711010320170538
713171520190176,823031520190057
713102320180455,401536320180062
713151520170498,816072120170309
503091120170126,707031320170030
713014520190259,813110120190119
503013520200020,707072220200012
803152320160057,813150120160241
803151520160012,711054520160043
803171320190025,813230520190151
803090120220103,821010520220177
803130320220068,811030520220076
801191720200107,805072220200167
803071520170212,701370120170192
803111920180165,405173320180102
409132720150040,713170120151381
409010920170045,707050320170236
409051920160074,607032020160028
803170120180144,713030120180218
803110920190189,711080520190916
803111120210075,817091520210076
803152320190422,711070720191101
713171520190038,816072120190019
713122320180477,701171920180349
713104720182457,813112120180401
819050720150090,711034520150043
819130720190206,821031720190300
819121820170288,711030120170306
819081720150048,805011920150073
819112720150092,701353920150101
819110120180127,711080520182486
603171320170094,509050320170045
603112120200109,603112120200084
709091520220040,713122120220053
701430920210037,701430920210009
709130720190224,511070120190119
705080320200050,705080320200088
709011320190465,505152520190113
709090520210206,607112520210181
709170720170200,505092520160052
709051720200140,107032720200158
115151520170041,711041320170276
115136720170155,207035120170171
221094520220006,101142320220017
805111720190552,801172120190161
813300320180130,813300320180137
805011120160200,815074320160103
805210120220119,715110320220055
805010320160349,805010320160386
805010320160349,809031920160114
805030720150010,805111520150279
805112120160093,711071120162766
805152320190008,711071120190046
805210120150210,701402220150732
805170320150049,819112820150164
607031920160096,715150320160183
607112720190009,101413520190017
607190120220102,813091020220063
607132120150172,701330720150015
607090420170334,711040920170322
607210120170126,707070120170400
607112720160145,701231120160366
1012327201690214,111112120160016
101192720200067,101141120200461
205011920180097,205012320180385
805011920150073,819081720150048
805191720190140,815012720190436
801153520150072,701271920150516
809052520180116,815014120180955
809090920170072,715031720170341
813050720220074,107171520220058
813210120211067,805210120210198
813010820190269,815092520190256
813111120190093,711071120191182
813130520160148,816011520160163
813250120190302,813250120190191
707120420200113,817151320200131
707121020180187,715090220180285
803012320180036,813211120180183
711034520160600,701272320160040
711011520170087,711071120173960
711072120220252,803051720220032
805090920190018,805090920190080
711054520160380,819093020160036
711034520181089,816071520180213
711011620170368,805211520170126
707060420210169,711010320210463
707071720160328,505012320160162
707120720150068,701190720150009
707092520210092,805092120210018
707100220190572,103010120190286
707053120180028,803172520180308
707111220170221,711012120170286
707120220200111,823132020200110
101081920160472,217076120160056
823030320160165,711034920161223
823100320180322,817130720180139
823090720220048,709010920220021
805071520180534,809133720180207
805211020190182,713013920192478
805010920170195,813170320170191
401378220210094,101081120210109
401351320220103,707060120220082
401516520220029,807132320220078
